Q No.,Question,Answer,option1,option2,Model Response
210,জরিনা লক্ষ্য করেছেন যে মটর নুড়ির উপর ঘূর্ণায়মান পেন্সিলটি ৭৬ জুল তাপ এবং ২৫ ক্যালোরি তাপ উৎপন্ন করে যখন এটিকে কার্পেটের উপর গড়িয়েছিল। পেন্সিল কি ধীর গতিতে চলে গেল?,Option 1,কার্পেট,মটর নুড়ি,"প্রথমে আমরা যেটা খেয়াল করব তা হলো জুল এবং ক্যালোরির এককগুলির রূপান্তর:

১ ক্যালোরি = ৪.১৮৪ জুল

তাহলে, ২৫ ক্যালোরি = ২৫ * ৪.১৮৪ = ১০৪.৬ জুল

এখন, মটর নুড়ির ওপর পেন্সিলটি ৭৬ জুল তাপ উৎপন্ন করেছে এবং কার্পেটের ওপর ১০৪.৬ জুল তাপ উৎপন্ন করেছে।

দুটি ভিন্ন তলের মধ্যে পেন্সিলটি বেশি তাপ উৎপন্ন করেছে কার্পেটের উপর। তাই পেন্সিলটি কার্পেটের ওপর ধীর গতিতে গড়িয়েছিল, কারণ ধীর গতিতে গতিশীল হলে অধিক তাপ উৎপন্ন হয়।

অতএব, সঠিক সম্ভাব্য উত্তর হবে ""কার্পেট""।

উত্তর: উত্তর ১"
281,"ডিলান জানালার বাইরে একটি নুড়ি, (যার ভর ০.২ কেজি) এবং একটি খেলনা বাস্কেটবল, (যার ভর ১০০ গ্রাম), ছুড়ে মারেন। _____ এর একটি শক্তিশালী মাধ্যাকর্ষণ টান ছিল কারণ এর ভর বেশি?",Option 1,নুড়ি,বাস্কেটবল,"নুড়ির ভর ০.২ কেজি এবং বাস্কেটবলের ভর ১০০ গ্রাম, যা ০.১ কেজি। যার অর্থ, নুড়ির ভর বাস্কেটবলের থেকে বেশি। অতএব, নুড়ির উপর মাধ্যাকর্ষণ টান বেশি হবে।

**উত্তর: উত্তর ১**"
34,আমার বাসা থেকে ২০০ ফুট দূরত্ব থেকে পুলিশের সাইরেন আমার বাসা থেকে ১৭৫ ফুট দূরত্বে চলে যাওয়ায় সাইরেনের শব্দ?,Option 1,বেড়ে গেল,কমে গেল,"সাইরেনের শব্দের তীব্রতা সূত্রানুযায়ী দূরত্ব বৃদ্ধির সাথে কমে যায় এবং দূরত্ব হ্রাসের সাথে বৃদ্ধি পায়। যেহেতু সাইরেন ২০০ ফুট থেকে ১৭৫ ফুটে চলে এসেছে, অর্থাৎ সাইরেনের সাথে আমার বাসার দূরত্ব কমে গেছে, তাই সাইরেনের শব্দ তীব্রতা বেড়ে যাবে। 

**উত্তর: উত্তর ১**"
211,লিসা দুটি মডেলের রকেট নিয়ে খেলছিল। তিনি একই সময়ে রকেট দুটি আঁকাশে নিক্ষেপ করলে ৩০ সেকেন্ড পরে কালোটি মাটি থেকে ৪৫ মিটার উপরে এবং লালটি মাটি থেকে ৩১ মিটার উপরে ছিল। কোনটির গতি বেশি ছিল?,Option 2,লালটা,কালোটা,"প্রদত্ত তথ্য অনুযায়ী, ৩০ সেকেন্ড পরে কালো রকেট মাটি থেকে ৪৫ মিটার উপরে এবং লাল রকেট মাটি থেকে ৩১ মিটার উপরে ছিল। সুতরাং, কালো রকেটটি লাল রকেটের তুলনায় উচ্চতায় বেশি উপরে গিয়েছিল। উচ্চতা অনুসারে, কালো রকেটের গতি বেশি ছিল কারণ এটি একই সময়ে বেশি উচ্চতায় পৌঁছেছে।

**উত্তর: উত্তর ২**"
94,জোশ লক্ষ্য করেছেন যে তার ভাগ্নিকে (ওজন ৪৫ পাউন্ড) তার ছেলের (৬০ পাউন্ড ওজন) তুলনায় তাকে তোলা কঠিন। তার ভাগ্নির _____ মাধ্যাকর্ষণ টান আছে?,Option 2,বেশি,কম,"জোশের ভাগ্নির ওজন ৪৫ পাউন্ড এবং তার ছেলের ওজন ৬০ পাউন্ড। মাধ্যাকর্ষণ টান কোনো বস্তু বা ব্যক্তির ওজনের ওপর নির্ভর করে। যার ওজন বেশি, তার উপর মাধ্যাকর্ষণ টানও বেশি। এই ক্ষেত্রে, ভাগ্নির ওজন ছেলের তুলনায় কম। তাই তার মাধ্যাকর্ষণ টানও কম হবে।

**উত্তর: উত্তর ২**"
85,টিমের রিংটি মাঠে ৪.৫ সেন্টিমিটার এবং তার মেঝেতে ১.২ সেন্টিমিটার গড়িয়ে যায়। টিমের _____ বেশী মসৃণ।,Option 2,মেঝে,মাঠ,"রিংটি যখন মাঠে ৪.৫ সেন্টিমিটার গড়িয়ে যায় এবং মেঝেতে ১.২ সেন্টিমিটার গড়িয়ে যায়, তখন মাঠে রিংটি বেশি দূরত্ব অতিক্রম করেছে। এর মানে হলো রিংটি মাঠে বেশি ভালোভাবে গড়িয়েছে। সাধারণত, রিং মাঠে বেশি ভালোভাবে গড়িয়ে গেলে সেটা হবে তুলনামূলকভাবে কম মসৃণ।

তবে, যেহেতু প্রশ্নে বলা হয়েছে টিমের _____ বেশী মসৃণ, এবং রিং মেঝেতে কম দূরত্ব অতিক্রম করেছে, এটিই নির্দেশ করছে যে মেঝে বেশি মসৃণ। কারণ এটি কম দূরত্বে গড়িয়ে যেতে পেরেছে অর্থাৎ ঘর্ষণ কম ছিল।

উত্তর: সম্ভাব্য উত্তর ১: মেঝে"
330,আমি একটি গাড়িতে ৫৬ মি/সে গতিতে এবং একটি সাইকেলে ১২ মি/সে গতিতে ভ্রমণ করতে পারি। কোনটি ধীর?,Option 1,সাইকেল,গাড়ী,"গাড়ির গতি হলো ৫৬ মি/সে এবং সাইকেলের গতি হলো ১২ মি/সে। গতি যত কম, বাহনটি তত ধীরগতির। 

তাহলে সাইকেলের গতি গাড়ির চেয়ে কম। সুতরাং, সাইকেল ধীর।

**উত্তর: সম্ভাব্য উত্তর ১: সাইকেল**"
95,"টেড পার্কে তার বাইক চালাচ্ছিলেন। যখন তিনি সিমেন্টের পথে ছিলেন, তখন তিনি ৫০ সেকেন্ডে পার্কের চারপাশে জিপ করতে সক্ষম হন এবং ঘাসের উপর তিনি ৪ মিনিট সময় নেন। বাইকটি কোথায় বেশি গরম হয়ে যাবে?",Option 2,সিমেন্ট পথে,ঘাসে,"টেড বাইক চালানোর সময় সিমেন্টের পথে ৫০ সেকেন্ড এবং ঘাসের উপর ৪ মিনিট (যা ২৪০ সেকেন্ড) সময় নেন। একই দূরত্ব চালাতে ঘাসের ওপর অনেক বেশি সময় লাগে। এর মানে হলো ঘাসের ওপর বেশি প্রড়হ হয় এবং বাইকটির ইঞ্জিনকে বেশি পরিশ্রম করতে হয়। যেহেতু ইঞ্জিন বেশি সময় ধরে চালু থাকে এবং বেশি শ্রম দেয়, তাই বাইকটি ঘাসের ওপর বেশি গরম হয়ে যাবে। তাই সঠিক উত্তর হবে:

**""উত্তর: উত্তর ২""**"
267,"কেট সিনেমায় আছে এবং ঘটনাক্রমে তার কাপ মেঝেতে ফেলে দেয়। কাপটি কংক্রিটের মেঝে দিয়ে ৩ সেকেন্ডের মধ্যে গড়িয়ে যায় যা ২৫ সেন্টিমিটার দীর্ঘ, কিন্তু এটি কার্পেটেড মেঝেতে আঘাত করার পরে ৩ সেকেন্ড সেকেন্ডে ০.১৮ মিটার যায়। কাপটি কংক্রিটের মেঝেতে দ্রুত ছিল কারণ কংক্রিটের মেঝে ছিল?",Option 2,বেশী ঘর্ষণ,কম ঘর্ষণ।,"কংক্রিটের মেঝে এবং কার্পেটের মেঝের মধ্যে কাপের ঘর্ষণের পার্থক্য বিশ্লেষণ করতে হবে। 

ঘর্ষণ হল সেই বল যা দুটি সংস্পর্শে থাকা পৃষ্ঠের মধ্যে গতির বিরোধ করে। যখন কংক্রিটের মেঝেতে ঘর্ষণ কম থাকে, তখন বস্তু সহজেই এবং দ্রুত চলতে পারে। অপরদিকে, কার্পেটেড মেঝেতে ঘর্ষণের মান সাধারণত বেশি থাকে, ফলে বস্তুটির গতি কমে যায়।

কিংবা একে অন্য ভাবে বললে, কাপটি কংক্রিটের মেঝেতে দ্রুত ছিল কারণ তার উপর ঘর্ষণ বল কম ছিল।

তাহলে, সঠিক উত্তর হবে:

**""উত্তর: উত্তর ২""**"
127,"যদি একটি গাড়ি এবং একটি পিকআপ উভয়ই ৬০ মাইল বেগে ভ্রমণ করে, কিন্তু গাড়িটি ১.৩ ঘন্টা পরে থামে যেখানে পিকআপটি ১৮৬ মিনিট পরে থামে, কোনটি কম দূরত্ব অতিক্রম করেছে?",Option 1,গাড়ী,পিকআপ,"প্রথমে, উভয় গাড়ির দ্বারা অতিক্রান্ত দূরত্ব নির্ণয় করতে হবে। এজন্য আমরা ভ্রমণের সময়কে ঘণ্টায় রূপান্তর করব এবং তারপর সমীকরণ ব্যবহার করব: দূরত্ব = গতি × সময়।

প্রথমে গাড়িটি:
- গাড়ির গতি = ৬০ মাইল/ঘন্টা
- ভ্রমণের সময় = ১.৩ ঘন্টা
- গাড়ির দ্বারা অতিক্রান্ত দূরত্ব = ৬০ × ১.৩ = ৭৮ মাইল

এবার পিকআপ:
- পিকআপের গতি = ৬০ মাইল/ঘন্টা
- ভ্রমণের সময় = ১৮৬ মিনিট = ১৮৬/৬০ ঘন্টা = ৩.১ ঘন্টা
- পিকআপের দ্বারা অতিক্রান্ত দূরত্ব = ৬০ × ৩.১ = ১৮৬ মাইল

গাড়িটি ৭৮ মাইল অতিক্রম করেছে এবং পিকআপ ১৮৬ মাইল অতিক্রম করেছে। সুতরাং, কম দূরত্ব অতিক্রম করেছে গাড়ি।

**উত্তর: সম্ভাব্য উত্তর ১**"
