Q No.,Question,Answer,Model Response
638,"কোনো প্রকৃত ভগ্নাংশের লব ও হরের যোগফল ১৪ এবং বিয়োগফল ৮ হলে, ভগ্নাংশটি নির্ণয় কর।",৩/১১,"ধরা যাক ভগ্নাংশটির লবকে 'x' এবং হরকে 'y' হিসেবে চিহ্নিত করা হয়েছে। সমস্যা অনুসারে, আমাদের নিম্নলিখিত দুটি সমীকরণ রয়েছে:

1. x + y = 14 (লব ও হরের যোগফল ১৪)
2. x - y = 8 (লব ও হরের বিয়োগফল ৮)

এই দুটি সমীকরণ সমাধান করে, আমরা লব (x) এবং হর (y) এর মান খুঁজে পেতে পারি।

প্রথম সমীকরণ থেকে: x + y = 14
দ্বিতীয় সমীকরণ থেকে: x - y = 8

এখন, প্রথম সমীকরণ এবং দ্বিতীয় সমীকরণ যোগ করলে আমরা পাব:

(x + y) + (x - y) = 14 + 8
2x = 22

উভয় পক্ষকে 2 দ্বারা ভাগ কর�"
221,"১০৭১ টি ধুতি, ৫৯৫ টি শাড়ি ও ৩৫৭ টি জামা মজুদ আছে। কিছু পরিবারের মধ্যে ওই জিনিসগুলি সমানভাগে ভাগ করে দেয়া হলো। প্রত্যেক পরিবার কতগুলি জামা পাবে।",৩,"আমাদের প্রথমে পরিবারের সংখ্যা খুঁজে বের করতে হবে। এর জন্য, আমাদের প্রতিটি আইটেমের সর্বোচ্চ সাধারণ ভাজক (HCF) খুঁজে বের করতে হবে, কারণ এটি আমাদের সবচেয়ে বড় সংখ্যা দেবে যা তিনটি পরিমাণকে সমানভাবে ভাগ করে।

1071 এবং 595 এর HCF খুঁজে বের করার জন্য, আমরা ইউক্লিডীয় অ্যালগরিদম ব্যবহার করতে পারি:

1071 = 1 * 595 + 476
595 = 1 * 476 + 119
476 = 4 * 119 + 0

সুতরাং, 1071 এবং 595 এর HCF হল 119।

এখন, আমরা 119 এবং 357 এর HCF খুঁজে পেতে পারি:

357 = 3 * 119 + 0

সুতরাং, 119 এবং 357 এর HCF হল 119।

অতএব, পরিবা�"
429,"২১৬০ টাকা রূমি, জেসমিন ও কাকলির মধ্যে ১ : ২ : ৩ অনুপাতে ভাগ করে দিলে জেসমিন কত টাকা পাবে ?",৭২০,"প্রদত্ত যে ২১৬০ টাকা রূমি, জেসমিন ও কাকলির মধ্যে ১ : ২ : ৩ অনুপাতে ভাগ করে দিলে, আমাদের অনুপাত অনুসারে প্রত্যেকের অংশ বের করতে হবে।

প্রথমে, আমরা অনুপাতের অংশগুলোর যোগফল বের করি:
১ + ২ + ৩ = ৬

এখন, আমরা জেসমিনের অংশ বের করতে পারি, কারণ তার অনুপাত হল ২:
জেসমিনের অংশ = (২/৬) * ২১৬০

জেসমিনের অংশ = (১/৩) * ২১৬০
জেসমিনের অংশ = ৭২০

উত্তর: ৭২০"
327,"এক ইউরো সমান ১২০ টাকা হলে, নয় কোটি চুরানব্বই লক্ষ তেত্রিশ হাজার চারশত চল্লিশ টাকা সমান কত ইউরো?",৮২৮৬১২,"প্রথমে, আমাদের প্রদত্ত টাকার পরিমাণকে সংখ্যায় রূপান্তর করতে হবে। নয় কোটি চুরানব্বই লক্ষ তেত্রিশ হাজার চারশত চল্লিশ টাকা হল:

9,00,00,000 + 90,00,000 + 33,000 + 440
= 9,90,33,440 টাকা

এখন, আমাদের এই পরিমাণ টাকাকে ইউরোতে রূপান্তর করতে হবে। প্রদত্ত যে এক ইউরো সমান 120 টাকা, তাই আমরা নিম্নরূপ গণনা করতে পারি:

ইউরোতে পরিমাণ = টাকায় পরিমাণ / 120
= 9,90,33,440 / 120
= 82,527.87 ইউরো

তাই, নয় কোটি চুরানব্বই লক্ষ তেত্রিশ হাজার চারশত চল্লিশ টাকা সমান প্রায় 82,528 ইউরো।

উত্তর: 82528"
73,এক ইঞ্চি সমান ২.৫৪ সে.মি। ৮.৫ ইঞ্চি সমান কত সে.মি?,২১.৫৯,"আমাদের দেওয়া হয়েছে যে এক ইঞ্চি সমান ২.৫๔ সে.মি। এখন, ৮.৫ ইঞ্চি সেন্টিমিটারে রূপান্তর করতে, আমরা নিম্নলিখিত হিসাব করতে পারি:

৮.৫ ইঞ্চি * ২.৫৪ সে.মি/ইঞ্চি = ২১.৫৯ সে.মি

সুতরাং, ৮.৫ ইঞ্চি সমান ২১.৫৯ সেন্টিমিটার।

উত্তর: ২১.৫৯"
517,কোন সংখ্যা থেকে ২৭ বিয়োগ করলে বিয়োগফল -২১ হবে?,৬,"ধরা যাক সেই সংখ্যার নাম x। 

যদি x থেকে ২৭ বিয়োগ করলে বিয়োগফল -২১ হয়, তাহলে আমরা এটিকে একটি সমীকরণ হিসাবে লিখতে পারি:

x - 27 = -21

x এর মান বের করার জন্য, আমরা সমীকরণের উভয় দিকে ২৭ যোগ করতে পারি:

x - 27 + 27 = -21 + 27

এটি সহজ করে:

x = 6

অতএব, সেই সংখ্যাটি হল ৬।

উত্তর: 6"
182,এবছরের অঙ্ক পরীক্ষায় আমাদের ক্লাসের ৬০% ছাত্রছাত্রী ৮০ এর বেশি নম্বর পেয়েছে। আমাদের ক্লাসের মোট ছাত্রছাত্রী ৫০ জন হলে কতজন ছাত্রছাত্রী ৮০ এর বেশি নম্বর পেয়েছে হিসাব করি।,৩০,"আমাদের দেওয়া হয়েছে যে আমাদের ক্লাসের ৬০% ছাত্রছাত্রী ৮০ এর বেশি নম্বর পেয়েছে। আমাদের ক্লাসের মোট ছাত্রছাত্রী ৫০ জন। 

যদি ৬০% ছাত্রছাত্রী ৮০ এর বেশি নম্বর পায়, তবে আমরা ৫০ এর ৬০% খুঁজে বের করতে পারি কতজন ছাত্রছাত্রী ৮০ এর বেশি নম্বর পেয়েছে। 

৫০ এর ৬০% হল (60/100) * 50 = 0.6 * 50 = 30।

সুতরাং, ৩০ জন ছাত্রছাত্রী ৮০ এর বেশি নম্বর পেয়েছে।

উত্তর: 30"
132,ইছামতী নদীর পাড়ের একটি অংশ বাঁধাই করতে ৪০ জন শ্রমিকের ৩৫ দিন সময় লাগে। ২৮ দিনের মধ্যে ওই অংশ বাঁধাতে কতজন শ্রমিক লাগবে হিসাব করি।,৫০,"এই সমস্যাটি সমাধান করার জন্য, আমরা কাজ, শ্রমিক এবং সময়ের মধ্যে সম্পর্ক ব্যবহার করতে পারি।

প্রথমত, আমরা জানি যে 40 জন শ্রমিক 35 দিনের মধ্যে কাজটি সম্পন্ন করতে পারে। এর মানে হল যে একজন শ্রমিক 40 * 35 = 1400 দিন কাজ করে কাজটি সম্পূর্ণ করতে পারে।

এখন, আমরা 28 দিনের মধ্যে কাজটি সম্পূর্ণ করার জন্য সংখ্যক শ্রমিক খুঁজে পেতে চাই। ধরা যাক যে x জন শ্রমিক লাগবে। তারপর, আমরা নিম্নলিখিত সমীকরণ সেট আপ করতে পারি:

40 * 35 = x * 28

এই সমীকরণটি বোঝায় যে 40 জন শ্রমিক 35 দিনে"
232,১৪৫ ও ২৩২ সংখ্যা দুটির গ.সা.গু -এর মান খুঁজি।,২৯,"প্রথমে, ১৪৫ এবং ২৩২ এর মধ্যে সাধারণ গুণনীয়ক খুঁজে বের করা যাক।

১৪৫: ১, ৩, ৫, ১৫, ২৯, ৪৫, ১৪৫
২৩২: ১, ২, ৪, ৮, ১৬, ২৯, ৫৮, ১১৬, ২৩২

সাধারণ গুণনীয়ক হল ১ এবং ২৯।

এখন, এই সাধারণ গুণনীয়কগুলির মধ্যে সর্বশ্রেষ্ঠ খুঁজে বের করা যাক।

সর্বশ্রেষ্ঠ সাধারণ গুণনীয়ক (গ.সা.গু) হল ২৯।

চূড়ান্ত উত্তর হল: **উত্তর: 29**"
278,তিনটি ধণাত্মক সংখ্যার প্রথম ও দ্বিতীয়টির গুণফল ২৪; দ্বিতীয় ও তৃতীয়টির গুণফল ৪৮; এবং প্রথম ও তৃতীয়টির গুণফল ৩২। বড় সংখ্যাটি কী হবে হিসাব করি।,৮,"আমরা তি�eenটি সংখ্যাকে $a$, $b$, এবং $c$ হিসাবে চিহ্নিত করব। সমস্যা অনুযায়ী, আমরা নিম্নলিখিত সমীকরণগুলি লিখতে পারি:

1. $ab = 24$
2. $bc = 48$
3. $ac = 32$

আমরা $a$, $b$, এবং $c$ এর মান বের করতে চাই। 

প্রথম সমীকরণ থেকে, আমরা $a$ কে $b$ এর পরিপ্রেক্ষিতে $a = \frac{24}{b}$ হিসাবে পরিমাপ করতে পারি।

দ্বিতীয় সমীকরণ থেকে, আমরা $c$ কে $b$ এর পরিপ্রেক্ষিতে $c = \frac{48}{b}$ হিসাবে পরিমাপ করতে পারি।

এখন, তৃতীয় সমীকরণে $a$ এবং $c$-এর জন্য এই অভিব্যক্তিগুলিকে প্রতিস্থাপন করা যাক:

$$
\left(\frac{24}{b}\right)\left(\frac{48}{b"
608,"একটি ত্রিভূজাকৃতি জমির ক্ষেত্রফল ২৬৪ বর্গমিটার। এর ভ’মি ২২ মিটার হলে, উচ্চতা নির্ণয় কর।",২৪,"একটি ত্রিভুজের ক্ষেত্রফল = (ভিত্তি × উচ্চতা) / 2

প্রদত্ত যে ক্ষেত্রফল = ২৬৪ বর্গমিটার এবং ভিত্তি = ২২ মিটার, আমরা সমীকরণ সেট আপ করতে পারি:

২৬৪ = (২২ × উচ্চতা) / 2

উভয় পক্ষকে ২ দ্বারা গুণ করুন:

৫২৮ = ২২ × উচ্চতা

এখন, উচ্চতা বের করতে উভয় পক্ষকে ২২ দ্বারা ভাগ করুন:

উচ্চতা = ৫২৮ / ২২
উচ্চতা = ২৪

উত্তর: 24"
282,৫৩২০ -এর সাথে কোন ক্ষুদ্রতম সংখ্যা যোগ করলে যোগফল পূর্ণবর্গ সংখ্যা হবে হিসাব করি।,৯,"আমরা প্রথমে ৫৩২০-এর নিকটতম নিখুঁত বর্গক্ষেত্র খুঁজে পাব। ৫৩২০-এর বর্গমূল হল প্রায় ৭২.৯। তাই, ৫৩২০-এর নিকটতম নিখুঁত বর্গ হল ৭৩^২ = ৫৩২৯।

সুতরাং, আমরা ৫৩২০-এর সাথে যে ক্ষুদ্রতম সংখ্যাটি যোগ করি তা হল ৫৩২৯ - ৫৩২০ = ৯।

উত্তর: 9"
250,নিসারের ফলের বাগান থেকে ৪৪১টি কমলালেবু তোলা হয়েছে। অনেকগুলি ঝুড়িতে রাখা হবে। যতগুলি ঝুড়ি আছে প্রত্যেক ঝুড়িতে ততগুলি কমলালেবু রাখলে মোট কতগুলি ঝুড়িতে কমলালেবু রাখা হলো হিসাব করি।,২১,"নিসারের ফলের বাগান থেকে ৪৪১টি কমলালেবু তোলা হয়েছে। ধরা যাক, অনেকগুলি ঝুড়িতে রাখা হবে, যেখানে প্রতিটি ঝুড়িতে কমলালেবুর সংখ্যা হল ঝুড়ির সংখ্যার সমান। 

ধরা যাক ঝুড়ির সংখ্যা x। তাহলে প্রতিটি ঝুড়িতে কমলালেবুর সংখ্যা হল x। 

যেহেতু মোট ৪৪১টি কমলালেবু আছে, তাই আমরা সমীকরণটি লিখতে পারি:

x * x = 441

এটি x^2 = 441 এর সমতুল্য।

x এর সমাধান করতে, আমরা উভয় পক্ষের বর্গমূল নিই:

x = √441

x = 21

সুতরাং, 21টি ঝুড়ি আছে, এবং প্রতিটি ঝ"
82,"আব্দুল্লাহ ১ মিটার লম্বা একটি রেখা আঁকেন। তারপর তিনি বুঝতে পারলেন যে এটি কিছুটা দীর্ঘ। সুতরাং, তিনি এটির ৩৩ সেন্টিমিটার মুছে ফেলেছেন। ফলে রেখার দৈর্ঘ্য  এখন কত সে.মি.?",৬৭ ,"আব্দুল্লাহ ১ মিটার লম্বা একটি রেখা আঁকেন। যেহেতু ১ মিটার ১০০ সেন্টিমিটারের সমান, তাই তার আঁকা রেখাটির প্রাথমিক দৈর্ঘ্য ১০০ সেন্টিমিটার।

তারপর তিনি এটির ৩৩ সেন্টিমিটার মুছে ফেলেন। এই দৈর্ঘ্য বিয়োগ করলে আমরা বর্তমান দৈর্ঘ্য খুঁজে পেতে পারি:

বর্তমান দৈর্ঘ্য = প্রাথমিক দৈর্ঘ্য - মুছে ফেলা দৈর্ঘ্য
= ১০০ সেন্টিমিটার - ৩৩ সেন্টিমিটার
= ৬৭ সেন্টিমিটার

সুতরাং, রেখার বর্তমান দৈর্ঘ্য ৬৭ সেন্টিমিটার।

উত্তর: ৬৭"
616,৮০ মিটার দৈর্ঘ্য ও ৬০ মিটার প্রস্থবিশিষ্ট একটি আয়তাকার বাগানের ভিতর চারদিকে ৪ মিটার প্রশস্ত একটি পথ আছে। প্রতি বর্গমিটার ৭.২৫ টাকা দরে ঐ পথ বাধাঁনোর খরচ কত?,৭৬৫৬,"আসুন ধাপে ধাপে সমস্যার সমাধান করি:

১. প্রথমে, আমাদের বাগানের বাইরের মাত্রা খুঁজে বের করতে হবে। যেহেতু পথটি ৪ মিটার প্রশস্ত, তাই বাগানের বাইরের দৈর্ঘ্য ও প্রস্থ যথাক্রমে ৮০ + ২*৪ = ৮৮ মিটার এবং ৬০ + ২*৪ = ৬৮ মিটার।

২. এরপর, আমরা বাগানের ভিতরের মাত্রা খুঁজে পাই, যা হল ৮০ মিটার দৈর্ঘ্য এবং ৬০ মিটার প্রস্থ।

৩. পথের ক্ষেত্রফল বের করার জন্য, আমরা বাগানের বাইরের ক্ষেত্রফল থেকে ভিতরের ক্ষেত্রফল বিয়োগ করি:
   বাইরের ক্ষেত্রফল = ৮৮ * ৬৮ = ৫৯৮৪ বর"
