Q No.,Question,Answer,option1,option2,Model Response
116,"এমিলি ছাদে একটি কলা ছুড়ে ফেলে এবং এটি ১০০ মিমি পিছলে যায়, কিন্তু যখন সে এটি স্লাইডে ছুড়ে দেয়, তখন এটি ২১১ মিমি পিছলে যায়। কোথায় কম ঘর্ষণ ছিল?",Option 2,ছাদ,স্লাইড,"ঘর্ষণের পরিমাণ পরিমাপ করার জন্য, আমাদের বস্তুর গতি বা ভ্রমণের দূরত্ব বিবেচনা করতে হবে। এই ক্ষেত্রে, যেহেতু কলাটি স্লাইডে ছুড়ে ২১১ মিমি পিছলে যাচ্ছে, যা ছাদে ছুড়ে ১০০ মিমি পিছলে যাওয়ার চেয়ে বেশি, তাই আমরা বলতে পারি যে স্লাইডে ঘর্ষণ কম। কারণ ঘর্ষণ কম হলে বস্তুটি দীর্ঘ দূরত্বে ভ্রমণ করতে পারে।

উত্তর: উত্তর ২"
187,"একটি বিড়াল এবং একটি কুকুর উভয়ই ৫ মাইল বেগে দৌড়ায়। যদি বিড়াল ১ মিনিট এবং কুকুর ১.৫ মিনিট দৌড়ায়, তাহলে কোনটি বেশি দূরত্ব অতিক্রম করবে?",Option 2,বিড়াল,কুকুর,"যেহেতু বিড়াল এবং কুকুর উভয়ই ৫ মাইল বেগে দৌড়ায়, তাই আমরা সময় এবং বেগের মাধ্যমে দূরত্ব গণনা করতে পারি। 

বিড়ালের জন্য:
বেগ = ৫ মাইল
সময় = ১ মিনিট = ১/৬০ ঘণ্টা (যেহেতু ১ ঘণ্টা = ৬০ মিনিট)
দূরত্ব = বেগ * সময় = ৫ * (১/৬০) = ৫/৬০ = ১/১২ মাইল

কুকুরের জন্য:
বেগ = ৫ মাইল
সময় = ১.৫ মিনিট = ১.৫/৬০ ঘণ্টা
দূরত্ব = বেগ * সময় = ৫ * (১.৫/৬০) = ৭.৫/৬০ = ১.৫/১২ = ১/৮ মাইল

তাই, কুকুরটি ১/৮ মাইল দূরত্ব অতিক্রম করেছ"
367,টিনা এবং মিনা দুজনেই হাইওয়েতে একই গতিতে যাচ্ছে। টিনা ৩০.৬ মিনিট এবং মিনা ২৮.৭৬ মিনিটের জন্য গাড়ি চালায়। কে বেশী দূর গাড়ি চালায়?,Option 1,টিনা,মিনা,"যেহেতু টিনা এবং মিনা দুজনেই একই গতিতে যাচ্ছে, তাই তারা যে সময় ধরে গাড়ি চালায় তার উপর ভিত্তি করে দূরত্বের তুলনা করা যায়। 

টিনা ৩০.৬ মিনিট গাড়ি চালিয়েছে এবং মিনা ২৮.৭৬ মিনিট গাড়ি চালিয়েছে। 

যেহেতু ৩০.৬ মিনিট ২৮.৭৬ মিনিটের চেয়ে বেশি, তাই টিনা বেশি সময় ধরে গাড়ি চালিয়েছে। 

অতএব, একই গতিতে যাওয়ার কারণে, টিনা মিনার চেয়ে বেশি দূরত্ব অতিক্রম করেছে।

উত্তর: উত্তর ১"
82,"শিলোহ স্যান্ডপেপারের একটি অংশের উপর একটি বল রোল করে এবং লক্ষ্য করে যে বলটি ২ মিটার/সেকেন্ডে বেগে ঘূর্ণায়মান হয়, তারপরে শিলো তার বলটিকে একটি কাঁচের টুকরার উপর দিয়ে ঘুরিয়ে দেয় এবং বলটি ৫ মিটার/সেকেন্ড বেগে ঘূর্ণায়মান হয়। বল দ্রুত ঘুরল কারণ কাঁচের টুকরোয়?",Option 2,বেশী ঘর্ষণ,কম ঘর্ষণ,"বলটি কাচের টুকরোর উপর দিয়ে যাওয়ার পরে দ্রুত ঘুরতে শুরু করে। এটি ঘটে কারণ কাচের টুকরোর উপরে ঘর্ষণ কম, যার ফলে বলটি ত্বরান্বিত হয় এবং দ্রুত ঘোরে। অতএব, সঠিক উত্তর হল:

উত্তর: উত্তর ২"
315,একজন সাঁতারু ৫ মিনিটে একটি হ্রদ অতিক্রম করে এবং ৩০ সেকেন্ডে ভিজা কাদা অতিক্রম করে কোনটি কম মসৃণ?,Option 1,হ্রদ,ভিজা কাদা,"ভিজা কাদা অতিক্রম করতে সাঁতারুর ৩০ সেকেন্ড সময় লাগে, যেখানে হ্রদ অতিক্রম করতে তার ৫ মিনিট সময় লাগে। ৫ মিনিট হল ৩০০ সেকেন্ড। সুতরাং, সাঁতারু হ্রদে অনেক বেশি সময় ব্যয় করে, তাই এটি কম মসৃণ।

উত্তর: উত্তর ১"
358,"মহসিনের ট্রাকের গড় গতি ঘণ্টায় ১৩ মাইল এবং তার গাড়ির গতি ঘণ্টায় ২৯ মাইল। যদি তিনি ফ্রিওয়েতে এক ঘন্টার জন্য উভয়ই গাড়ি চালান, তবে কোনটি কম দূরত্ব অতিক্রম করবে?",Option 1,ট্রাক,গাড়ী,"ট্রাকের গড় গতি ১৩ মাইল প্রতি ঘন্টা এবং গাড়ির গতি ২৯ মাইল প্রতি ঘন্টা। যদি তিনি এক ঘন্টা উভয়ই গাড়ি চালান, তাহলে ট্রাক দ্বারা ভ্রমণ করা দূরত্ব হবে ১৩ মাইল এবং গাড়ি দ্বারা ভ্রমণ করা দূরত্ব হবে ২৯ মাইল। অতএব, ট্রাক কম দূরত্ব অতিক্রম করবে।

উত্তর: উত্তর ১"
77,একজন প্রশিক্ষক প্রতিদিন তার ঘোড়া দৌড়াতে দেখেছেন। ঘোড়াটি ৬ সেকেন্ডের মধ্যে বেশি গতিতে উঠতে সক্ষম হয়েছিল যখন কেউ তাকে চড়ছিল না এবং যখন কেউ তাকে চড়েছিল তখন এটি ১২ সেকেন্ড সময় নেয়।ঘোড়ার ওজন কম ছিল যখন?,Option 2,এর একজন রাইডার ছিল,যখন কেউ তাকে চড়ছিল না,"প্রশ্নে বলা হয়েছে যে ঘোড়াটি ৬ সেকেন্ডের মধ্যে বেশি গতিতে উঠতে সক্ষম হয়েছিল যখন কেউ তাকে চড়ছিল না। এটি ইঙ্গিত করে যে ঘোড়াটa ওজন কম ছিল যখন কেউ তাকে চড়ছিল না, কারণ এটি দ্রুত গতিতে উঠতে সক্ষম হয়েছিল। 

অতএব, ঘোড়ার ওজন কম ছিল যখন কেউ তাকে চড়ছিল না। 

উত্তর: উত্তর ২"
180,"গাড়ি চালিয়ে, মেরি জানতে পেরেছিলেন যে জঙ্গলের ঘর্ষণ সহগ ০.৭, যেখানে রাস্তায় জঙ্গলের তুলনায় ০.১ বেশি। তার গাড়ির বেগ কোথায় বেশী?",Option 1,জঙ্গল,টুন্ড্রা,"ঘর্ষণ সহগ হল একটি মাপ যা দুটি পৃষ্ঠের মধ্যে ঘর্ষণ বলের পরিমাণ নির্দেশ করে। ঘর্ষণ সহগ যত বেশি হয়, ঘর্ষণ বল তত বেশি হয়। তাই, ঘর্ষণ সহগ বেশি হলে গাড়ির গতি কম হয়।

জঙ্গলের ঘর্ষণ সহগ ০.৭, যেখানে টুন্ড্রার ঘর্ষণ সহগ ০.১ বেশি, অর্থাৎ ০.৭ + ০.১ = ০.৮। অতএব, টুন্ড্রার ঘর্ষণ সহগ বেশি।

যেহেতু ঘর্ষণ সহগ বেশি হলে গাড়ির গতি কম হয়, তাই জঙ্গলের তুলনায় টুন্ড্রায় গাড়ির গতি কম হবে।

উত্তর: উত্তর ১"
329,আমি একটি গাড়িতে ৬ মি/সে গতিতে এবং একটি সাইকেলে ২০ মি/সে গতিতে ভ্রমণ করতে পারি। কোনটি ধীর?,Option 2,সাইকেল,গাড়ী,"এখানে, আমাদের দুটি বস্তুর গতির তুলনা করতে হবে। গাড়ির গতি ৬ মি/সে এবং সাইকেলের গতি ২০ মি/সে। 

যেহেতু ৬ মি/সে ২০ মি/সে এর থেকে কম, তাই গাড়িটি সাইকেলের তুলনায় ধীর।

**উত্তর: উত্তর ২**"
49,"টিনা তার দুটি কুকুরের মধ্যে দৌড় দিচ্ছে। এর মধ্যে গ্রেহাউন্ডের ওজন ৪০ কেজি, এবং তার রটওয়েলারের ওজন ৩৫ কেজি। কোন কুকুরটি বেশী দ্রুত দৌড়ায়?",Option 1,রটওয়েলার,গ্রেহাউন্ড,"গ্রেহাউন্ড এবং রটওয়েলার উভয়ই দ্রুত গতির কুকুর, কিন্তু তাদের গতি তাদের শারীরিক গঠন এবং প্রজাতির উপর নির্ভর করে। গ্রেহাউন্ডগুলি সাধারণত দৌড়ের জন্য নির্বাচন করা হয় এবং তারা খুব দ্রুত দৌড়াতে পারে, প্রায় ৪৫ মাইল প্রতি ঘণ্টা (৭২ কিমি/ঘণ্টা) পর্যন্ত। অন্যদিকে, রটওয়েলারগুলি সাধারণত ভারী এবং শক্তিশালী, কিন্তু তারা গ্রেহাউন্ডগুলির মতো দ্রুত নয়।

যাইহোক, এই প্রশ্নে, আমাদের শুধুমাত্র ওজন দেওয়া হয়েছে, যা দ্রুত"
207,একটি ছোট ছেলে হলওয়ের নিচে তার দুটি রাবারের বল গড়িয়েছে। লাল বল ১ মিনিট ২৩ সেকেন্ড পরে থামল। নীলটি ২৯ সেকেন্ড পরে থামল। কোনটি সবচেয়ে দূরে গড়িয়ে গেলো?,Option 1,লাল বল,নীল বল,"আসুন ধাপে ধাপে সমস্যাটি বিশ্লেষণ করা যাক:

1. লাল বল 1 মিনিট 23 সেকেন্ড পরে থামল। আমরা এই সময়কে সেকেন্ডে রূপান্তর করতে পারি: 1 মিনিট = 60 সেকেন্ড, তাই লাল বল 60 + 23 = 83 সেকেন্ড পরে থামল।

2. নীল বল 29 সেকেন্ড পরে থামল।

3. যে বলটি দীর্ঘতম সময় ধরে গড়িয়েছে, সেটি সবচেয়ে দূরে গিয়েছে। কারণ উভয় বল একই পরিবেশে গড়িয়েছে, তাই তাদের গতি একই হবে।

4. লাল বল 83 সেকেন্ড ধরে গড়িয়েছে, যখন নীল বল 29 সেকেন্ড ধরে গড়িয়েছে। যেহেতু 83 > 29, লাল বল দ"
