Q No.,Question,Answer,option1,option2,Model Response
116,"এমিলি ছাদে একটি কলা ছুড়ে ফেলে এবং এটি ১০০ মিমি পিছলে যায়, কিন্তু যখন সে এটি স্লাইডে ছুড়ে দেয়, তখন এটি ২১১ মিমি পিছলে যায়। কোথায় কম ঘর্ষণ ছিল?",Option 2,ছাদ,স্লাইড,"এখানে ঘর্ষণের পরিমাণ পিছলে যাওয়ার দূরত্বের সাথে সম্পর্কযুক্ত। যেহেতু কলাটি ছাদে কম দূরত্ব (১০০ মিমি) পিছলেছে, তাই ছাদে ঘর্ষণ বেশি ছিল। অন্যদিকে, স্লাইডে বেশি দূরত্ব (২১১ মিমি) পিছলেছে, তাই স্লাইডে ঘর্ষণ কম ছিল।

উত্তর: উত্তর ২"
187,"একটি বিড়াল এবং একটি কুকুর উভয়ই ৫ মাইল বেগে দৌড়ায়। যদি বিড়াল ১ মিনিট এবং কুকুর ১.৫ মিনিট দৌড়ায়, তাহলে কোনটি বেশি দূরত্ব অতিক্রম করবে?",Option 2,বিড়াল,কুকুর,"বিড়াল এবং কুকুরের বেগ একই (৫ মাইল/মিনিট)। যেহেতু কুকুরটি বিড়ালের চেয়ে বেশি সময় ধরে দৌড়ায় (১.৫ মিনিট > ১ মিনিট), তাই কুকুরটি বিড়ালের চেয়ে বেশি দূরত্ব অতিক্রম করবে।

উত্তর: উত্তর ২"
367,টিনা এবং মিনা দুজনেই হাইওয়েতে একই গতিতে যাচ্ছে। টিনা ৩০.৬ মিনিট এবং মিনা ২৮.৭৬ মিনিটের জন্য গাড়ি চালায়। কে বেশী দূর গাড়ি চালায়?,Option 1,টিনা,মিনা,"যেহেতু টিনা এবং মিনা একই গতিতে গাড়ি চালায়, তাই যে বেশি সময় ধরে গাড়ি চালাবে, সে বেশি দূরত্ব অতিক্রম করবে। টিনা ৩০.৬ মিনিট ধরে গাড়ি চালায় এবং মিনা ২৮.৭৬ মিনিট ধরে গাড়ি চালায়। যেহেতু ৩০.৬ > ২৮.৭৬, তাই টিনা বেশি দূরত্ব অতিক্রম করবে।

উত্তর: উত্তর ১"
82,"শিলোহ স্যান্ডপেপারের একটি অংশের উপর একটি বল রোল করে এবং লক্ষ্য করে যে বলটি ২ মিটার/সেকেন্ডে বেগে ঘূর্ণায়মান হয়, তারপরে শিলো তার বলটিকে একটি কাঁচের টুকরার উপর দিয়ে ঘুরিয়ে দেয় এবং বলটি ৫ মিটার/সেকেন্ড বেগে ঘূর্ণায়মান হয়। বল দ্রুত ঘুরল কারণ কাঁচের টুকরোয়?",Option 2,বেশী ঘর্ষণ,কম ঘর্ষণ,"কাঁচের টুকরোর উপর বলটি দ্রুত ঘোরার কারণ হল কাঁচের মসৃণ পৃষ্ঠের কারণে ঘর্ষণ কম হওয়া। ঘর্ষণ কম হওয়ার ফলে বলের গতি কমে যায় না, বরং আরও সহজে চলতে পারে। স্যান্ডপেপারের তুলনায় কাঁচের ঘর্ষণ কম।

উত্তর: উত্তর ২"
315,একজন সাঁতারু ৫ মিনিটে একটি হ্রদ অতিক্রম করে এবং ৩০ সেকেন্ডে ভিজা কাদা অতিক্রম করে কোনটি কম মসৃণ?,Option 1,হ্রদ,ভিজা কাদা,"সাঁতারুর হ্রদ অতিক্রম করতে ৫ মিনিট সময় লাগে, যেখানে ভিজা কাদা অতিক্রম করতে ৩০ সেকেন্ড সময় লাগে। যেহেতু ৫ মিনিট ৩০ সেকেন্ড থেকে বেশি, তাই হ্রদ কম মসৃণ।

উত্তর: উত্তর ১"
358,"মহসিনের ট্রাকের গড় গতি ঘণ্টায় ১৩ মাইল এবং তার গাড়ির গতি ঘণ্টায় ২৯ মাইল। যদি তিনি ফ্রিওয়েতে এক ঘন্টার জন্য উভয়ই গাড়ি চালান, তবে কোনটি কম দূরত্ব অতিক্রম করবে?",Option 1,ট্রাক,গাড়ী,"মহসিন যদি ১ ঘণ্টা ধরে ট্রাক চালান, তবে তিনি ১৩ মাইল দূরত্ব অতিক্রম করবেন। অন্য দিকে, যদি তিনি ১ ঘণ্টা ধরে গাড়ি চালান, তবে তিনি ২৯ মাইল দূরত্ব অতিক্রম করবেন। যেহেতু ১৩, ২৯ থেকে ছোট, তাই ট্রাক কম দূরত্ব অতিক্রম করবে।

উত্তর: উত্তর ১"
77,একজন প্রশিক্ষক প্রতিদিন তার ঘোড়া দৌড়াতে দেখেছেন। ঘোড়াটি ৬ সেকেন্ডের মধ্যে বেশি গতিতে উঠতে সক্ষম হয়েছিল যখন কেউ তাকে চড়ছিল না এবং যখন কেউ তাকে চড়েছিল তখন এটি ১২ সেকেন্ড সময় নেয়।ঘোড়ার ওজন কম ছিল যখন?,Option 2,এর একজন রাইডার ছিল,যখন কেউ তাকে চড়ছিল না,"ঘোড়ার ত্বরণ বেশি ছিল যখন তার উপর কেউ ছিল না, কারণ এতে বোঝা কম ছিল।

উত্তর: উত্তর ২"
180,"গাড়ি চালিয়ে, মেরি জানতে পেরেছিলেন যে জঙ্গলের ঘর্ষণ সহগ ০.৭, যেখানে রাস্তায় জঙ্গলের তুলনায় ০.১ বেশি। তার গাড়ির বেগ কোথায় বেশী?",Option 1,জঙ্গল,টুন্ড্রা,"সমস্যাটি মনোযোগ দিয়ে পড়লে দেখা যায়, রাস্তায় জঙ্গলের তুলনায় ঘর্ষণ সহগ ০.১ বেশি। তার মানে জঙ্গলের ঘর্ষণ সহগ রাস্তার চেয়ে কম। ঘর্ষণ কম হলে গাড়ির বেগ বেশি হবে। যেহেতু জঙ্গলের ঘর্ষণ সহগ কম, তাই জঙ্গলে গাড়ির বেগ বেশি হবে।

উত্তর: উত্তর ১"
329,আমি একটি গাড়িতে ৬ মি/সে গতিতে এবং একটি সাইকেলে ২০ মি/সে গতিতে ভ্রমণ করতে পারি। কোনটি ধীর?,Option 2,সাইকেল,গাড়ী,"এখানে গাড়ি এবং সাইকেলের গতি তুলনা করে দেখতে হবে কোনটি ধীর। গাড়ির গতি ৬ মি/সে এবং সাইকেলের গতি ২০ মি/সে। যেহেতু ৬, ২০ এর থেকে ছোট, তাই গাড়ির গতি কম।

উত্তর: উত্তর ২"
49,"টিনা তার দুটি কুকুরের মধ্যে দৌড় দিচ্ছে। এর মধ্যে গ্রেহাউন্ডের ওজন ৪০ কেজি, এবং তার রটওয়েলারের ওজন ৩৫ কেজি। কোন কুকুরটি বেশী দ্রুত দৌড়ায়?",Option 1,রটওয়েলার,গ্রেহাউন্ড,"গ্রেহাউন্ড শিকারী কুকুর হিসাবে পরিচিত এবং এদের দৌড়ানোর গতি রটওয়েলারের চেয়ে বেশি।

উত্তর: উত্তর ২"
