Q No.,Question,Answer,option1,option2,Model Response
210,জরিনা লক্ষ্য করেছেন যে মটর নুড়ির উপর ঘূর্ণায়মান পেন্সিলটি ৭৬ জুল তাপ এবং ২৫ ক্যালোরি তাপ উৎপন্ন করে যখন এটিকে কার্পেটের উপর গড়িয়েছিল। পেন্সিল কি ধীর গতিতে চলে গেল?,Option 1,কার্পেট,মটর নুড়ি,উত্তর: উত্তর ১
281,"ডিলান জানালার বাইরে একটি নুড়ি, (যার ভর ০.২ কেজি) এবং একটি খেলনা বাস্কেটবল, (যার ভর ১০০ গ্রাম), ছুড়ে মারেন। _____ এর একটি শক্তিশালী মাধ্যাকর্ষণ টান ছিল কারণ এর ভর বেশি?",Option 1,নুড়ি,বাস্কেটবল,"নুড়ির ভর ০.২ কেজি এবং বাস্কেটবলের ভর ১০০ গ্রাম। যেহেতু ১ কেজি = ১০০০ গ্রাম, তাই নুড়ির ভর ০.২ কেজি * ১০০০ গ্রাম/কেজি = ২০০ গ্রাম। 

এখন, নুড়ির ভর (২০০ গ্রাম) বাস্কেটবলের ভর (১০০ গ্রাম) থেকে বেশি। মাধ্যাকর্ষণ টান ভরের সাথে সরাসরি সম্পর্কিত। তাই, নুড়ির উপর মাধ্যাকর্ষণ টান বাস্কেটবলের চেয়ে বেশি।

উত্তর: উত্তর ১"
34,আমার বাসা থেকে ২০০ ফুট দূরত্ব থেকে পুলিশের সাইরেন আমার বাসা থেকে ১৭৫ ফুট দূরত্বে চলে যাওয়ায় সাইরেনের শব্দ?,Option 1,বেড়ে গেল,কমে গেল,"যখন পুলিশের সাইরেন আপনার বাসা থেকে ২০০ ফুট দূরত্ব থেকে ১৭৫ ফুট দূরত্বে চলে আসে, তখন সাইরেনের শব্দ আপনার কাছে আরো জোরে শোনা যাবে। কারণ, শব্দের তীব্রতা উৎস থেকে দূরত্বের বর্গক্ষেত্রের ব্যবকলনের সমানুপাতিক। অর্থাৎ, যদি উৎস থেকে দূরত্ব কমে, শব্দের তীব্রতা বৃদ্ধি পায়।

উত্তর: উত্তর ১"
211,লিসা দুটি মডেলের রকেট নিয়ে খেলছিল। তিনি একই সময়ে রকেট দুটি আঁকাশে নিক্ষেপ করলে ৩০ সেকেন্ড পরে কালোটি মাটি থেকে ৪৫ মিটার উপরে এবং লালটি মাটি থেকে ৩১ মিটার উপরে ছিল। কোনটির গতি বেশি ছিল?,Option 2,লালটা,কালোটা,"এই সমস্যাটি সমাধান করার জন্য, আমাদের রকেটের গতি বিশ্লেষণ করতে হবে। গতি হল সময়ের সাথে অবস্থানের পরিবর্তনের হার। 

আমাদের দেওয়া হয়েছে যে উভয় রকেট ৩০ সেকেন্ড পরে নির্দিষ্ট উচ্চতায় পৌঁছেছে। কালো রকেটটি ৪৫ মিটার উপরে এবং লাল রকেটটি ৩১ মিটার উপরে।

যেহেতু উভয় রকেট একই সময়ে (৩০ সেকেন্ড) ছোড়া হয়েছে, তাই আমরা সরাসরি তাদের উচ্চতা তুলনা করে তাদের গতি বিচার করতে পারি। 

কালো রকেটটি ৪৫ মিটার উপরে ছিল, যখন লাল রকেটটি ৩�"
94,জোশ লক্ষ্য করেছেন যে তার ভাগ্নিকে (ওজন ৪৫ পাউন্ড) তার ছেলের (৬০ পাউন্ড ওজন) তুলনায় তাকে তোলা কঠিন। তার ভাগ্নির _____ মাধ্যাকর্ষণ টান আছে?,Option 2,বেশি,কম,"আমাদের জোশের ভাগ্নি এবং ছেলের মাধ্যাকর্ষণ টানের তুলনা করতে হবে।

মাধ্যাকর্ষণ টান বস্তুর ভরের সাথে সরাসরি সমানুপাতিক। অর্থাৎ, বস্তুর ভর বাড়লে মাধ্যাকর্ষণ টানও বাড়ে।

যেহেতু জোশের ছেলের ওজন ৬০ পাউন্ড, অন্যদিকে তার ভাগ্নির ওজন ৪৫ পাউন্ড, তাই ছেলের ভর বেশি। তাই, ছেলের মাধ্যাকর্ষণ টানও বেশি।

অতএব, জোশের ভাগ্নির মাধ্যাকর্ষণ টান কম।

উত্তর: উত্তর ২"
85,টিমের রিংটি মাঠে ৪.৫ সেন্টিমিটার এবং তার মেঝেতে ১.২ সেন্টিমিটার গড়িয়ে যায়। টিমের _____ বেশী মসৃণ।,Option 2,মেঝে,মাঠ,"টিমের রিংটি মাঠে ৪.৫ সেন্টিমিটার এবং তার মেঝেতে ১.২ সেন্টিমিটার গড়িয়ে যায়। এখানে, মেঝেতে গড়িয়ে যাওয়ার পরিমাণ (১.২ সেন্টিমিটার) মাঠে গড়িয়ে যাওয়ার পরিমাণ (৪.৫ সেন্টিমিটার) থেকে কম। এর মানে হলো মেঝেটি মাঠের চেয়ে বেশী মসৃণ।

উত্তর: উত্তর ১"
330,আমি একটি গাড়িতে ৫৬ মি/সে গতিতে এবং একটি সাইকেলে ১২ মি/সে গতিতে ভ্রমণ করতে পারি। কোনটি ধীর?,Option 1,সাইকেল,গাড়ী,"সাইকেলের গতি ১২ মি/সে এবং গাড়ির গতি ৫৬ মি/সে। যেহেতু ১২ মি/সে হল ৫৬ মি/সে থেকে কম, তাই সাইকেলটি গাড়ির চেয়ে ধীর। 

উত্তর: উত্তর ১"
95,"টেড পার্কে তার বাইক চালাচ্ছিলেন। যখন তিনি সিমেন্টের পথে ছিলেন, তখন তিনি ৫০ সেকেন্ডে পার্কের চারপাশে জিপ করতে সক্ষম হন এবং ঘাসের উপর তিনি ৪ মিনিট সময় নেন। বাইকটি কোথায় বেশি গরম হয়ে যাবে?",Option 2,সিমেন্ট পথে,ঘাসে,"বাইকটি কোথায় বেশি গরম হয়ে যাবে তা নির্ধারণ করতে, আমাদের টেডের বাইক চালানোর সময় বিবেচনা করতে হবে সিমেন্টের পথে এবং ঘাসের উপর।

সিমেন্টের পথে, টেড 50 সেকেন্ডে পার্কের চারপাশে জিপ করতে সক্ষম হন। এখানে, তিনি খুব দ্রুত বাইক চালাচ্ছেন, যার ফলে বাইকের ইঞ্জিন এবং ব্রেক বেশি গরম হয়ে যায়।

অন্যদিকে, ঘাসের উপর, টেড 4 মিনিট সময় নেন। এখানে, তিনি ধীর গতিতে বাইক চালাচ্ছেন, যার ফলে বাইকের ইঞ্জিন এবং ব্রেক কম গরম হয়ে যায়।

তাই, বাইকটি সিমেন্ট পথে ব"
267,"কেট সিনেমায় আছে এবং ঘটনাক্রমে তার কাপ মেঝেতে ফেলে দেয়। কাপটি কংক্রিটের মেঝে দিয়ে ৩ সেকেন্ডের মধ্যে গড়িয়ে যায় যা ২৫ সেন্টিমিটার দীর্ঘ, কিন্তু এটি কার্পেটেড মেঝেতে আঘাত করার পরে ৩ সেকেন্ড সেকেন্ডে ০.১৮ মিটার যায়। কাপটি কংক্রিটের মেঝেতে দ্রুত ছিল কারণ কংক্রিটের মেঝে ছিল?",Option 2,বেশী ঘর্ষণ,কম ঘর্ষণ।,"আসুন ধাপে ধাপে সমস্যাটি বিশ্লেষণ করি:

1. প্রথমে, আমাদের বুঝতে হবে যে ঘর্ষণ হল একটি বস্তুর গতির উপর ক্রিয়াশীল একটি বল যা এটিকে ধীর করে দেয়। ঘর্ষণ বস্তু এবং মেঝের মধ্যে সংস্পর্শের পৃষ্ঠের ধরনের উপর নির্ভর করে।

2. সমস্যাটি বলে যে কাপটি কংক্রিটের মেঝে দিয়ে 3 সেকেন্ডের মধ্যে গড়িয়ে যায়, যা 25 সেন্টিমিটার দীর্ঘ। এটি আমাদের কাপটির গতি সম্পর্কে তথ্য দেয় কংক্রিটের মেঝেতে।

3. তারপরে, এটি বলে যে কাপটি কার্পেটেড মেঝেতে আঘাত করার পরে 3 স"
127,"যদি একটি গাড়ি এবং একটি পিকআপ উভয়ই ৬০ মাইল বেগে ভ্রমণ করে, কিন্তু গাড়িটি ১.৩ ঘন্টা পরে থামে যেখানে পিকআপটি ১৮৬ মিনিট পরে থামে, কোনটি কম দূরত্ব অতিক্রম করেছে?",Option 1,গাড়ী,পিকআপ,"প্রথমে, আমাদের পিকআপের থামার সময়কে ঘন্টায় রূপান্তর করতে হবে।

186 মিনিট = 186/60 ঘন্টা = 3.1 ঘন্টা

এখন, আমরা গাড়ি এবং পিকআপ উভয়ের দ্বারা ভ্রমণ করা দূরত্ব গণনা করতে পারি।

গাড়ির দূরত্ব = গতি * সময় = 60 * 1.3 = 78 মাইল

পিকআপের দূরত্ব = গতি * সময় = 60 * 3.1 = 186 মাইল

যেহেতু 78 মাইল 186 মাইল থেকে কম, গাড়িটি কম দূরত্ব অতিক্রম করেছে।

উত্তর: উত্তর ১"
