Q No.,Question,Answer,option1,option2,Model Response,Chat History
210,জরিনা লক্ষ্য করেছেন যে মটর নুড়ির উপর ঘূর্ণায়মান পেন্সিলটি ৭৬ জুল তাপ এবং ২৫ ক্যালোরি তাপ উৎপন্ন করে যখন এটিকে কার্পেটের উপর গড়িয়েছিল। পেন্সিল কি ধীর গতিতে চলে গেল?,Option 1,কার্পেট,মটর নুড়ি,উত্তর: কার্পেট,"model='mathstral' created_at='2025-02-10T11:30:02.55283937Z' done=True done_reason='stop' total_duration=2170327509 load_duration=7171443 prompt_eval_count=660 prompt_eval_duration=1216000000 eval_count=17 eval_duration=946000000 message=Message(role='assistant', content='উত্তর: কার্পেট', images=None, tool_calls=None)"
281,"ডিলান জানালার বাইরে একটি নুড়ি, (যার ভর ০.২ কেজি) এবং একটি খেলনা বাস্কেটবল, (যার ভর ১০০ গ্রাম), ছুড়ে মারেন। _____ এর একটি শক্তিশালী মাধ্যাকর্ষণ টান ছিল কারণ এর ভর বেশি?",Option 1,নুড়ি,বাস্কেটবল,"পরীক্ষা করা দশটি দুইপাক্ষিক পড়নো তেজো কৌশল হচ্ছে ""গিডিং"" এবং “অউগ্লাইডিং”। নিম্নলি দুই পাক্ষিক তেজো লাইট মূল রৈফলটিসব ""ডাউন টিএটচ"" (Down touch) কাজটি অউগ্লাইডিং পরীক্ষা পরিচালন, যাকে ""অউগ্লাইডিং"" বলে। একটু শোধিত এইগার জুনাি গণিতজ্ঞতায় পরিণম করতে হরিবংশ ভরদীয়লা, ""ডেটালী বিশ্ডগ""  আংশিদ সাহিত্যী জোহন রুইজিলা ফিল্ড, ময়্যুকো. গৌৰ ফমেটিং (Goal Formatting) জনাক পটভ আচ্ছে, অর সত্যী হলন ""টুড়িউ"" (Tudriwu) বোলন সত্তর জনক গঠিত  এফার ঝোবলা ইত্যম্ব গৌটো গড়ীও:","model='mathstral' created_at='2025-02-10T11:30:14.24313243Z' done=True done_reason='stop' total_duration=11687886002 load_duration=9366102 prompt_eval_count=645 prompt_eval_duration=88000000 eval_count=472 eval_duration=11588000000 message=Message(role='assistant', content='পরীক্ষা করা দশটি দুইপাক্ষিক পড়নো তেজো কৌশল হচ্ছে ""গিডিং"" এবং “অউগ্লাইডিং”। নিম্নলি দুই পাক্ষিক তেজো লাইট মূল রৈফলটিসব ""ডাউন টিএটচ"" (Down touch) কাজটি অউগ্লাইডিং পরীক্ষা পরিচালন, যাকে ""অউগ্লাইডিং"" বলে। একটু শোধিত এইগার জুনাি গণিতজ্ঞতায় পরিণম করতে হরিবংশ ভরদীয়লা, ""ডেটালী বিশ্ডগ""  আংশিদ সাহিত্যী জোহন রুইজিলা ফিল্ড, ময়্যুকো. গৌৰ ফমেটিং (Goal Formatting) জনাক পটভ আচ্ছে, অর সত্যী হলন ""টুড়িউ"" (Tudriwu) বোলন সত্তর জনক গঠিত  এফার ঝোবলা ইত্যম্ব গৌটো গড়ীও:', images=None, tool_calls=None)"
34,আমার বাসা থেকে ২০০ ফুট দূরত্ব থেকে পুলিশের সাইরেন আমার বাসা থেকে ১৭৫ ফুট দূরত্বে চলে যাওয়ায় সাইরেনের শব্দ?,Option 1,বেড়ে গেল,কমে গেল,"আমি একটি কম্প্যুটার ভর্তুল যন্ত্র এবং পরিচালক টুল এবং পদ্ধতিগুলি ব্যবহার করে, যেখানে আমাকে কীভাবে ইনপুট সংজ্ঞায়িত করা যায়? . সমন্বয় একটি সাধারণ সংখ্যালঘ জ্যামিতিতে, এর পাশাপাশি , একই সমস্যা একটি গণিতীয় অনুশীলন , এবং একযোগ , একটি একটি দীর্ঘজীবী উপায় একটি সংযোজনিতে, মূল জ্ঞানুখ্য
**""উত্তর: [সঠিক সম্ভাব্য উত্তর]""**","model='mathstral' created_at='2025-02-10T11:30:22.643994851Z' done=True done_reason='stop' total_duration=8398399914 load_duration=6997810 prompt_eval_count=600 prompt_eval_duration=69000000 eval_count=344 eval_duration=8321000000 message=Message(role='assistant', content='আমি একটি কম্প্যুটার ভর্তুল যন্ত্র এবং পরিচালক টুল এবং পদ্ধতিগুলি ব্যবহার করে, যেখানে আমাকে কীভাবে ইনপুট সংজ্ঞায়িত করা যায়? . সমন্বয় একটি সাধারণ সংখ্যালঘ জ্যামিতিতে, এর পাশাপাশি , একই সমস্যা একটি গণিতীয় অনুশীলন , এবং একযোগ , একটি একটি দীর্ঘজীবী উপায় একটি সংযোজনিতে, মূল জ্ঞানুখ্য\n**""উত্তর: [সঠিক সম্ভাব্য উত্তর]""**', images=None, tool_calls=None)"
211,লিসা দুটি মডেলের রকেট নিয়ে খেলছিল। তিনি একই সময়ে রকেট দুটি আঁকাশে নিক্ষেপ করলে ৩০ সেকেন্ড পরে কালোটি মাটি থেকে ৪৫ মিটার উপরে এবং লালটি মাটি থেকে ৩১ মিটার উপরে ছিল। কোনটির গতি বেশি ছিল?,Option 2,লালটা,কালোটা,উত্তর: লালটা,"model='mathstral' created_at='2025-02-10T11:30:23.868558782Z' done=True done_reason='stop' total_duration=1222251364 load_duration=6950672 prompt_eval_count=674 prompt_eval_duration=91000000 eval_count=15 eval_duration=1123000000 message=Message(role='assistant', content='উত্তর: লালটা', images=None, tool_calls=None)"
94,জোশ লক্ষ্য করেছেন যে তার ভাগ্নিকে (ওজন ৪৫ পাউন্ড) তার ছেলের (৬০ পাউন্ড ওজন) তুলনায় তাকে তোলা কঠিন। তার ভাগ্নির _____ মাধ্যাকর্ষণ টান আছে?,Option 2,বেশি,কম,"দুটি অক্ষের অসমানতামাপী টাচা আছে, যার লাচনা নয়ার কারণ (ভাগ্নি) 45-2 শুধু 43 এবং 60-43 ওগ টাউয়ের সমতল অঞাচিষে

""উত্তর: বেশি""","model='mathstral' created_at='2025-02-10T11:30:27.822049376Z' done=True done_reason='stop' total_duration=3951211842 load_duration=7166505 prompt_eval_count=613 prompt_eval_duration=87000000 eval_count=139 eval_duration=3855000000 message=Message(role='assistant', content='দুটি অক্ষের অসমানতামাপী টাচা আছে, যার লাচনা নয়ার কারণ (ভাগ্নি) 45-2 শুধু 43 এবং 60-43 ওগ টাউয়ের সমতল অঞাচিষে\n\n""উত্তর: বেশি""', images=None, tool_calls=None)"
85,টিমের রিংটি মাঠে ৪.৫ সেন্টিমিটার এবং তার মেঝেতে ১.২ সেন্টিমিটার গড়িয়ে যায়। টিমের _____ বেশী মসৃণ।,Option 2,মেঝে,মাঠ,উত্তর: উত্তর ১,"model='mathstral' created_at='2025-02-10T11:30:28.946509906Z' done=True done_reason='stop' total_duration=1121971094 load_duration=7219548 prompt_eval_count=573 prompt_eval_duration=68000000 eval_count=21 eval_duration=1045000000 message=Message(role='assistant', content='উত্তর: উত্তর ১', images=None, tool_calls=None)"
330,আমি একটি গাড়িতে ৫৬ মি/সে গতিতে এবং একটি সাইকেলে ১২ মি/সে গতিতে ভ্রমণ করতে পারি। কোনটি ধীর?,Option 1,সাইকেল,গাড়ী,শংসাপন্ন জবাব: [উত্তর ১],"model='mathstral' created_at='2025-02-10T11:30:30.220917422Z' done=True done_reason='stop' total_duration=1272020630 load_duration=6963456 prompt_eval_count=561 prompt_eval_duration=67000000 eval_count=28 eval_duration=1196000000 message=Message(role='assistant', content='শংসাপন্ন জবাব: [উত্তর ১]', images=None, tool_calls=None)"
95,"টেড পার্কে তার বাইক চালাচ্ছিলেন। যখন তিনি সিমেন্টের পথে ছিলেন, তখন তিনি ৫০ সেকেন্ডে পার্কের চারপাশে জিপ করতে সক্ষম হন এবং ঘাসের উপর তিনি ৪ মিনিট সময় নেন। বাইকটি কোথায় বেশি গরম হয়ে যাবে?",Option 2,সিমেন্ট পথে,ঘাসে,"উত্তর: **""উত্তর ২""**","model='mathstral' created_at='2025-02-10T11:30:31.626223062Z' done=True done_reason='stop' total_duration=1402975370 load_duration=7258626 prompt_eval_count=677 prompt_eval_duration=90000000 eval_count=23 eval_duration=1304000000 message=Message(role='assistant', content='উত্তর: **""উত্তর ২""**', images=None, tool_calls=None)"
267,"কেট সিনেমায় আছে এবং ঘটনাক্রমে তার কাপ মেঝেতে ফেলে দেয়। কাপটি কংক্রিটের মেঝে দিয়ে ৩ সেকেন্ডের মধ্যে গড়িয়ে যায় যা ২৫ সেন্টিমিটার দীর্ঘ, কিন্তু এটি কার্পেটেড মেঝেতে আঘাত করার পরে ৩ সেকেন্ড সেকেন্ডে ০.১৮ মিটার যায়। কাপটি কংক্রিটের মেঝেতে দ্রুত ছিল কারণ কংক্রিটের মেঝে ছিল?",Option 2,বেশী ঘর্ষণ,কম ঘর্ষণ।,উত্তর: উত্তর ২,"model='mathstral' created_at='2025-02-10T11:30:33.229202593Z' done=True done_reason='stop' total_duration=1600542061 load_duration=7185150 prompt_eval_count=791 prompt_eval_duration=114000000 eval_count=21 eval_duration=1478000000 message=Message(role='assistant', content='উত্তর: উত্তর ২', images=None, tool_calls=None)"
127,"যদি একটি গাড়ি এবং একটি পিকআপ উভয়ই ৬০ মাইল বেগে ভ্রমণ করে, কিন্তু গাড়িটি ১.৩ ঘন্টা পরে থামে যেখানে পিকআপটি ১৮৬ মিনিট পরে থামে, কোনটি কম দূরত্ব অতিক্রম করেছে?",Option 1,গাড়ী,পিকআপ,উত্তর: গাড়ী,"model='mathstral' created_at='2025-02-10T11:30:34.44029665Z' done=True done_reason='stop' total_duration=1208421447 load_duration=8377828 prompt_eval_count=646 prompt_eval_duration=88000000 eval_count=15 eval_duration=1110000000 message=Message(role='assistant', content='উত্তর: গাড়ী', images=None, tool_calls=None)"
